customer_id,customer_unique_id,first_order_date,city,state,pincode,acquisition_channel
CUST_000001,UID_320817754,2025-10-26,Coimbatore,Tamil Nadu,641568,Meta
CUST_000002,UID_102305640,2025-01-18,Ghaziabad,Uttar Pradesh,201480,Influencer
CUST_000003,UID_854791428,2025-09-22,Amritsar,Punjab,143267,Influencer
CUST_000004,UID_994406792,2025-10-26,Coimbatore,Tamil Nadu,641568,Meta
CUST_000005,UID_847254594,2025-03-30,Mumbai,Maharashtra,400687,Meta
CUST_000006,UID_415719133,2025-02-19,Bengaluru,Karnataka,560931,Organic
CUST_000007,UID_948845535,2025-11-06,Delhi,Delhi,110812,Organic
CUST_000008,UID_611155581,2025-10-13,Siliguri,West Bengal,734820,Google
CUST_000009,UID_820055405,2025-01-25,Bengaluru,Karnataka,560585,Meta
CUST_000010,UID_705347858,2025-09-20,Noida,Uttar Pradesh,201007,Meta
CUST_000011,UID_602923327,2025-06-15,Mumbai,Maharashtra,400484,Meta
CUST_000012,UID_862543417,2025-01-21,Nagpur,Maharashtra,440315,Affiliate
CUST_000013,UID_939506755,2025-04-26,Bhopal,Madhya Pradesh,462947,Organic
CUST_000014,UID_784049920,2025-06-28,Vadodara,Gujarat,390309,Google
CUST_000015,UID_181902130,2025-02-01,Vadodara,Gujarat,390151,Affiliate
CUST_000016,UID_723261735,2025-02-04,Gurugram,Haryana,122066,Google
CUST_000017,UID_872969005,2025-09-29,Amritsar,Punjab,143109,Influencer
CUST_000018,UID_792056211,2025-08-29,Surat,Gujarat,395332,Influencer
CUST_000019,UID_673738792,2025-02-01,Mumbai,Maharashtra,400296,Meta
CUST_000020,UID_969640073,2025-12-08,Amritsar,Punjab,143515,Affiliate
CUST_000021,UID_319464452,2025-10-16,Mumbai,Maharashtra,400499,Organic
CUST_000022,UID_812948191,2025-08-30,Nagpur,Maharashtra,440984,Google
CUST_000023,UID_561635450,2025-10-04,Coimbatore,Tamil Nadu,641222,Google
CUST_000024,UID_459324770,2025-10-04,Chandigarh,Chandigarh,160087,Meta
CUST_000025,UID_671246484,2025-01-30,Surat,Gujarat,395535,Organic
CUST_000026,UID_465475967,2025-04-28,Bengaluru,Karnataka,560337,Meta
