sku_id,warehouse,opening_stock,closing_stock,units_sold,units_received,reorder_point
SKU_001,Delhi NCR,263,300,283,320,114
SKU_001,Mumbai,1092,1219,220,347,121
SKU_001,Bengaluru,865,956,272,363,188
SKU_002,Delhi NCR,208,93,316,201,210
SKU_002,Mumbai,182,334,241,393,174
SKU_002,Bengaluru,714,757,258,301,98
SKU_003,Delhi NCR,447,514,314,381,148
SKU_003,Mumbai,384,424,245,285,136
SKU_003,Bengaluru,1157,1090,267,200,127
SKU_004,Delhi NCR,190,211,286,307,158
SKU_004,Mumbai,1011,1023,285,297,167
SKU_004,Bengaluru,1037,1019,259,241,239
SKU_005,Delhi NCR,849,846,267,264,88
SKU_005,Mumbai,500,404,295,199,248
SKU_005,Bengaluru,775,797,331,353,123
SKU_006,Delhi NCR,191,99,317,225,82
SKU_006,Mumbai,907,970,302,365,230
SKU_006,Bengaluru,190,302,297,409,106
SKU_007,Delhi NCR,713,764,360,411,194
SKU_007,Mumbai,365,271,358,264,149
SKU_007,Bengaluru,513,576,379,442,177
SKU_008,Delhi NCR,963,1092,237,366,128
SKU_008,Mumbai,808,734,286,212,185
SKU_008,Bengaluru,413,450,264,301,194
SKU_009,Delhi NCR,621,605,249,233,103
SKU_009,Mumbai,275,336,254,315,137
SKU_009,Bengaluru,240,289,265,314,209
SKU_010,Delhi NCR,692,675,246,229,200
SKU_010,Mumbai,770,807,258,295,178
SKU_010,Bengaluru,339,401,308,370,145
SKU_011,Delhi NCR,278,360,291,373,185
SKU_011,Mumbai,847,919,289,361,126
SKU_011,Bengaluru,308,360,351,403,84
SKU_012,Delhi NCR,611,664,239,292,131
SKU_012,Mumbai,480,501,270,291,143
SKU_012,Bengaluru,398,517,250,369,143
SKU_013,Delhi NCR,964,991,253,280,111
SKU_013,Mumbai,394,381,254,241,183
SKU_013,Bengaluru,1123,1118,287,282,80
SKU_014,Delhi NCR,313,418,296,401,136
SKU_014,Mumbai,1048,1088,325,365,239
SKU_014,Bengaluru,331,453,250,372,153
SKU_015,Delhi NCR,1146,1063,315,232,158
SKU_015,Mumbai,1145,1157,316,328,140
SKU_015,Bengaluru,670,790,256,376,150
SKU_016,Delhi NCR,645,673,302,330,185
SKU_016,Mumbai,1124,1205,308,389,155
SKU_016,Bengaluru,184,146,299,261,236
SKU_017,Delhi NCR,363,438,283,358,231
SKU_017,Mumbai,1153,1215,302,364,146
SKU_017,Bengaluru,312,285,232,205,249
SKU_018,Delhi NCR,565,612,239,286,142
SKU_018,Mumbai,1100,1125,211,236,115
SKU_018,Bengaluru,593,649,248,304,88
SKU_019,Delhi NCR,894,928,253,287,134
SKU_019,Mumbai,998,1079,271,352,148
SKU_019,Bengaluru,157,98,293,234,223
SKU_020,Delhi NCR,917,974,311,368,98
SKU_020,Mumbai,1021,911,337,227,112
SKU_020,Bengaluru,666,613,281,228,239
SKU_021,Delhi NCR,961,831,345,215,137
SKU_021,Mumbai,1062,1024,329,291,157
SKU_021,Bengaluru,658,647,307,296,82
SKU_022,Delhi NCR,887,903,316,332,92
SKU_022,Mumbai,669,680,338,349,201
SKU_022,Bengaluru,328,471,255,398,143
SKU_023,Delhi NCR,1039,984,279,224,197
SKU_023,Mumbai,666,594,320,248,166
SKU_023,Bengaluru,778,742,341,305,183
SKU_024,Delhi NCR,520,610,260,350,237
SKU_024,Mumbai,413,331,309,227,207
SKU_024,Bengaluru,562,617,327,382,113
SKU_025,Delhi NCR,1173,1197,295,319,225
SKU_025,Mumbai,703,637,316,250,133
SKU_025,Bengaluru,743,775,290,322,91
SKU_026,Delhi NCR,923,881,275,233,103
SKU_026,Mumbai,996,1065,333,402,111
SKU_026,Bengaluru,807,781,309,283,188
SKU_027,Delhi NCR,718,677,307,266,84
SKU_027,Mumbai,638,567,300,229,239
SKU_027,Bengaluru,332,220,319,207,88
SKU_028,Delhi NCR,572,493,329,250,179
SKU_028,Mumbai,1185,1147,240,202,194
SKU_028,Bengaluru,507,547,289,329,149
SKU_029,Delhi NCR,187,268,243,324,197
SKU_029,Mumbai,672,813,235,376,241
SKU_029,Bengaluru,549,567,280,298,230
SKU_030,Delhi NCR,763,720,320,277,105
SKU_030,Mumbai,635,713,283,361,116
SKU_030,Bengaluru,853,769,285,201,234
SKU_031,Delhi NCR,163,219,286,342,169
SKU_031,Mumbai,951,1008,297,354,137
SKU_031,Bengaluru,888,902,313,327,201
SKU_032,Delhi NCR,393,549,246,402,157
SKU_032,Mumbai,607,619,317,329,205
SKU_032,Bengaluru,995,903,327,235,130
