order_id,payment_method,payment_gateway,payment_fee,cod_fee,refund_amount
ORD_000001,UPI,Razorpay,5.34,0.0,0.0
ORD_000002,COD,,0.0,25.0,0.0
ORD_000003,Debit Card,Razorpay,28.13,0.0,0.0
ORD_000004,Credit Card,Razorpay,40.18,0.0,0.0
ORD_000005,COD,,0.0,27.0,0.0
ORD_000006,Debit Card,Cashfree,9.05,0.0,0.0
ORD_000007,Credit Card,Razorpay,22.67,0.0,0.0
ORD_000008,UPI,Cashfree,17.47,0.0,0.0
ORD_000009,COD,,0.0,28.0,0.0
ORD_000010,COD,,0.0,25.0,0.0
ORD_000011,COD,,0.0,27.0,0.0
ORD_000012,COD,,0.0,25.0,0.0
ORD_000013,Credit Card,Cashfree,18.57,0.0,0.0
ORD_000014,Debit Card,Razorpay,11.23,0.0,0.0
ORD_000015,Credit Card,Razorpay,28.13,0.0,0.0
ORD_000016,UPI,Razorpay,19.72,0.0,0.0
ORD_000017,COD,,0.0,25.0,0.0
ORD_000018,UPI,Razorpay,27.29,0.0,0.0
ORD_000019,Credit Card,Razorpay,48.59,0.0,0.0
ORD_000020,UPI,Razorpay,55.89,0.0,0.0
ORD_000021,UPI,Cashfree,22.77,0.0,0.0
ORD_000022,COD,,0.0,28.0,0.0
ORD_000023,COD,,0.0,25.0,778.0
ORD_000024,UPI,PayU,84.23,0.0,0.0
ORD_000025,COD,,0.0,28.0,0.0
ORD_000026,UPI,Razorpay,15.17,0.0,0.0
ORD_000027,COD,,0.0,25.0,0.0
ORD_000028,COD,,0.0,30.0,931.0
ORD_000029,COD,,0.0,30.0,0.0
ORD_000030,Credit Card,Razorpay,6.65,0.0,0.0
ORD_000031,COD,,0.0,25.0,0.0
ORD_000032,COD,,0.0,27.0,0.0
ORD_000033,Credit Card,Cashfree,33.03,0.0,0.0
ORD_000034,COD,,0.0,27.0,0.0
ORD_000035,Credit Card,PayU,10.48,0.0,0.0
ORD_000036,COD,,0.0,25.0,0.0
ORD_000037,UPI,Cashfree,8.67,0.0,0.0
ORD_000038,COD,,0.0,27.0,0.0
ORD_000039,Credit Card,Razorpay,15.02,0.0,0.0
ORD_000040,UPI,PayU,26.29,0.0,0.0
ORD_000041,COD,,0.0,27.0,0.0
ORD_000042,UPI,Razorpay,34.91,0.0,0.0
ORD_000043,UPI,Razorpay,54.08,0.0,0.0
ORD_000044,COD,,0.0,28.0,0.0
ORD_000045,Credit Card,Razorpay,15.38,0.0,0.0
ORD_000046,COD,,0.0,28.0,0.0
ORD_000047,Credit Card,Razorpay,18.78,0.0,0.0
ORD_000048,COD,,0.0,0.0,0.0
ORD_000049,COD,,0.0,28.0,0.0
ORD_000050,COD,,0.0,28.0,0.0
ORD_000051,COD,,0.0,27.0,0.0
ORD_000052,COD,,0.0,28.0,0.0
ORD_000053,COD,,0.0,25.0,0.0
ORD_000054,Credit Card,Razorpay,8.35,0.0,0.0
ORD_000055,UPI,Razorpay,14.64,0.0,0.0
ORD_000056,COD,,0.0,30.0,0.0
ORD_000057,COD,,0.0,28.0,0.0
ORD_000058,Debit Card,Cashfree,7.28,0.0,0.0
ORD_000059,COD,,0.0,28.0,0.0
