sku_id,product_name,category,list_price,cogs_per_unit
SKU_001,Premium Skincare Product 001,Skincare,230.0,118.64
SKU_002,Premium Dresses Product 002,Dresses,1060.0,437.27
SKU_003,Premium Skincare Product 003,Skincare,550.0,198.09
SKU_004,Premium Accessories Product 004,Accessories,280.0,134.05
SKU_005,Premium T-Shirts Product 005,T-Shirts,550.0,179.98
SKU_006,Premium Ethnic Wear Product 006,Ethnic Wear,1660.0,524.21
SKU_007,Premium Skincare Product 007,Skincare,510.0,170.14
SKU_008,Premium Skincare Product 008,Skincare,600.0,302.45
SKU_009,Premium T-Shirts Product 009,T-Shirts,410.0,138.94
SKU_010,Premium Dresses Product 010,Dresses,780.0,414.4
SKU_011,Premium Jeans Product 011,Jeans,1100.0,409.61
SKU_012,Premium Ethnic Wear Product 012,Ethnic Wear,870.0,295.61
SKU_013,Premium Accessories Product 013,Accessories,370.0,112.2
SKU_014,Premium Skincare Product 014,Skincare,230.0,72.04
SKU_015,Premium Dresses Product 015,Dresses,740.0,230.48
SKU_016,Premium Shirts Product 016,Shirts,510.0,226.38
SKU_017,Premium Footwear Product 017,Footwear,1100.0,920.42
SKU_018,Premium T-Shirts Product 018,T-Shirts,510.0,215.43
SKU_019,Premium Skincare Product 019,Skincare,690.0,353.58
SKU_020,Premium Footwear Product 020,Footwear,1520.0,471.76
SKU_021,Premium Skincare Product 021,Skincare,510.0,181.58
SKU_022,Premium Jeans Product 022,Jeans,780.0,283.19
SKU_023,Premium Ethnic Wear Product 023,Ethnic Wear,1430.0,576.01
SKU_024,Premium Ethnic Wear Product 024,Ethnic Wear,1330.0,416.48
SKU_025,Premium Skincare Product 025,Skincare,180.0,79.09
SKU_026,Premium Shirts Product 026,Shirts,640.0,209.42
SKU_027,Premium Dresses Product 027,Dresses,640.0,201.42
SKU_028,Premium T-Shirts Product 028,T-Shirts,550.0,292.98
SKU_029,Premium T-Shirts Product 029,T-Shirts,510.0,258.28
SKU_030,Premium Accessories Product 030,Accessories,180.0,96.48
SKU_031,Premium Skincare Product 031,Skincare,320.0,160.93
SKU_032,Premium Ethnic Wear Product 032,Ethnic Wear,1840.0,910.33
SKU_033,Premium Jeans Product 033,Jeans,1150.0,568.73
SKU_034,Premium Jeans Product 034,Jeans,1150.0,383.53
SKU_035,Premium Dresses Product 035,Dresses,1200.0,512.36
SKU_036,Premium Shirts Product 036,Shirts,690.0,354.7
SKU_037,Premium T-Shirts Product 037,T-Shirts,550.0,218.56
SKU_038,Premium Dresses Product 038,Dresses,920.0,422.89
SKU_039,Premium Shirts Product 039,Shirts,550.0,184.74
SKU_040,Premium Accessories Product 040,Accessories,280.0,115.58
SKU_041,Premium Dresses Product 041,Dresses,690.0,246.96
SKU_042,Premium Skincare Product 042,Skincare,460.0,180.09
SKU_043,Premium Accessories Product 043,Accessories,410.0,157.92
